"Name","intercept.before","slope.before","intercept.after","slope.after"
"EL ESPINGO",16163.2388010233,-7.28677341214344,33315.513928043,-15.8153002856309
"ZIT-SET DEL QUECAL",-5039.12865921796,2.58528142869998,8584.60990234953,-4.22885222494518
"SAN JOSÉ",-30516.9827867399,17.191177968,39437.009579042,-17.7838813207995
"LA TEÓFILA",3047.14101228994,-0.679344024999969,8495.45267384023,-3.40866361075948
"EL DESCANSO",1588.62713193329,-0.754826694509993,1160.01914606111,-0.540404112376486
"LA JULIA",3406.43851890597,-1.65118339419999,1210.05581438055,-0.553253658003496
"CHALUAYACO",-3382.18971139998,1.86819606889999,2847.34836510401,-1.25667513726264
"CENTRO DE MIRAFLORES",11846.0277394284,-5.66524392330047,4857.48033666847,-2.19913769471827
"JERUSALÉN-SAN LUIS ALTO PICUDITO",64378.3195930395,-30.2685504489998,42718.6381304896,-19.6145228972082
"MANDIYACO",7021.2092048399,-2.83060010399995,19417.4407578478,-9.05314968411448
"LA LIBERTAD 2",8621.15199841009,-3.44659260328612,204026.551203734,-100.9486350087
"LA FLORESTA - LA ESPAÑOLA",-3180.93404401437,1.60400672583999,1587.49211692095,-0.785352774131013
"REFUGIO DEL SOL",4210.98942213197,-2.00972607419998,2651.3287643077,-1.22659337849985
"VILLA MARIA DE ANAMÚ",1550.1902783324,-0.319723021319998,1294.66709122255,-0.193199702952395
"SAN LUIS",318.159451833996,-0.0754826694999981,5821.61605484874,-2.83356021054321
"VEGAS DE SANTANA",937.117341239392,-0.462331350389996,884.593007209291,-0.436017904387013
"LA ARGELIA",12183.9407362989,-6.02917822249995,5162.31208035671,-2.52313434318347
"LA PERECERA",25954.1093338741,-10.0176285601439,20128.6325061856,-7.12367657299929
"PLAYA LARGA",19023.9510980886,-9.2816725329294,7870.9567266331,-3.72831246248831
"PIEDRA SAGRADA LA GRAN FAMILIA DE LOS PASTOS",-428.451763037466,0.27632048642859,242.68844576979,-0.0588352727988464
"ALPAMANGA",3730.57592858205,-1.84528168712443,271.953430783477,-0.121466365160353
"BAJO CASACUENTE",9258.41578323227,-3.71590398468571,1188.73812574554,0.300614028372111
"PUERTO MONFORT",13108.6371344863,-6.27988851735763,1565.3335357001,-0.530601964068982
"TUKUNARE",35306.2638084496,-16.2193385979998,32489.0146981905,-14.7662972099953
