"OBJECTID","Name","Yr_Final","Area_sqm","Measure.var","value","forest.yr","Area_ha","value.ha"
269,"Rumiyaco",2002,2356946.353612,"Forest1990",532152.819631,1990,235.6946353612,53.2152819631
270,"Guaipa Uno",2001,7116128.66250714,"Forest1990",0,1990,711.612866250714,0
272,"Balsillas",2006,1389824.65127,"Forest1990",0,1990,138.982465127,0
273,"Paez De Toez",2003,5084701.32091,"Forest1990",0,1990,508.470132091,0
274,"Beltran",2006,1768181.531896,"Forest1990",297213.010964,1990,176.8181531896,29.7213010964
276,"Nueva Esperanza Del Tomo",2002,92492689.0120279,"Forest1990",9861810.7638,1990,9249.26890120279,986.18107638
277,"Zaragoza Tamarindo",2000,789737.429133,"Forest1990",0,1990,78.9737429133,0
278,"Quebraditas",2001,503846.818587,"Forest1990",0,1990,50.3846818587,0
279,"Mercadillo",2001,707650.026105,"Forest1990",0,1990,70.7650026105,0
282,"La Delfina",2007,7855858.823134,"Forest1990",7257658.66773,1990,785.5858823134,725.765866773
284,"Menche San Cayetano",2013,732181.8936765,"Forest1990",11322.4004177,1990,73.21818936765,1.13224004177
285,"Chenche Buenavista",2013,2034257.9417107,"Forest1990",197198.473941,1990,203.42579417107,19.7198473941
286,"Chenche Balsillas",2003,482145.55112,"Forest1990",0,1990,48.214555112,0
287,"Chenche Balsillas",2003,31136.60114862,"Forest1990",0,1990,3.113660114862,0
293,"Muisca De Fonquetá Y Cerca De Piedra",2013,1356800.98338814,"Forest1990",943.53336814,1990,135.680098338814,0.094353336814
294,"Maguare",2014,427420.615767,"Forest1990",21701.2674672,1990,42.7420615767,2.17012674672
297,"Eyakera Dogibi",2012,31840477.0412493,"Forest1990",27997465.6328,1990,3184.04770412493,2799.74656328
300,"Velu Centro",2013,802946.896287,"Forest1990",0,1990,80.2946896287,0
306,"Resguardo Indigena Mesas De San Juan",2015,166061.8727924,"Forest1990",0,1990,16.60618727924,0
308,"Resguardo Indigena Anaba",2015,74539.1360831,"Forest1990",0,1990,7.45391360831,0
309,"Resguardo Indigena Aco Viejo Patio Bonito",2015,2937219.375018,"Forest1990",344389.679371,1990,293.7219375018,34.4389679371
311,"LOS PIJAOS",2002,1377558.71748,"Forest1990",8491.80031326,1990,137.755871748,0.849180031326
312,"SAN ANDRES - LAS VEGAS - VILLA UNION",2005,15563582.9074702,"Forest1990",9051315.60057,1990,1556.35829074702,905.131560057
313,"EL PORVENIR KANANGUCHAL",2001,5400784.99923,"Forest1990",1585136.05848,1990,540.078499923,158.513605848
314,"CAICEDONIA",2005,11254466.01518,"Forest1990",9860867.23043,1990,1125.446601518,986.086723043
316,"BANDERAS DEL RECAIBO",2013,4188344.62118,"Forest1990",3866599.74264,1990,418.834462118,386.659974264
317,"LA PLAYA",2001,277398.8102332,"Forest1990",277398.810233,1990,27.73988102332,27.7398810233
318,"DAMASCO VIDES",2003,6921760.78868,"Forest1990",4410074.96269,1990,692.176078868,441.007496269
320,"EL ITILLA",2002,103751872.69387,"Forest1990",101855370.624,1990,10375.187269387,10185.5370624
321,"NASA CHAMB",2011,335897.879058,"Forest1990",150965.338902,1990,33.5897879058,15.0965338902
322,"BOCANA DE LUZON",2010,11780014.10122,"Forest1990",9958994.70072,1990,1178.001410122,995.899470072
323,"WASIPANGA",2001,4140224.41939884,"Forest1990",2882494.43967,1990,414.022441939884,288.249443967
324,"LA AGUADITA",2004,13929383.1138451,"Forest1990",11199741.0798,1990,1392.93831138451,1119.97410798
325,"PAEZ DEL LIBANO",2003,2687183.03245884,"Forest1990",2660764.09816,1990,268.718303245884,266.076409816
326,"SANTA MARTA",2004,3141966.1159107,"Forest1990",2503194.02568,1990,314.19661159107,250.319402568
327,"WASIPUNGO",2005,5708376.87725,"Forest1990",4477065.83182,1990,570.837687725,447.706583182
